numSample;x1_pix;y1_pix;x2_pix;y2_pix;laser_X_m;laser_Y_m;radar_X_m;radar_Y_m;radar_R_m;radar_A_deg;radar_D_mps;radar_P_db;dataset;index;Annotation;Difficult
5;1268;490;1600;748;3,646340847;10,5243063;3,693122864;11,18125343;11,97660732;-17,70000076;243;4652976,5;RECORD@2020-11-21_13.44.44;6;incomplete;0
5;1080;487;1292;633;3,65383482;22,84140205;3,978550911;23,6563797;23,95321465;-9,800000191;24;11791128;RECORD@2020-11-21_13.44.44;6;incomplete;0
5;836;503;1102;739;0,131896302;11,0936718;0,121303603;11,46225739;11,47758293;-0,600000024;252;28877380;RECORD@2020-11-21_13.44.44;6;incomplete;0
5;1053;469;1226;612;3,218281984;22,84021759;3,377271652;23,72096252;23,95321465;-8,100000381;24;12111357;RECORD@2020-11-21_13.44.44;6;incomplete;0
6;1263;489;1591;740;3,694511652;10,83710098;3,552497625;11,48816013;11,97660732;-16,79999924;17;13889437;RECORD@2020-11-21_13.44.44;7;weak;0
6;1080;482;1279;633;3,633148193;23,40980911;3,100206852;24,18854523;24,35243607;-7,599999905;25;11970615;RECORD@2020-11-21_13.44.44;7;weak;0
6;835;503;1099;740;0,125256687;11,05560589;0,103603333;11,27580166;11,27797222;-0,600000024;248;29392892;RECORD@2020-11-21_13.44.44;7;weak;0
6;1039;461;1224;615;3,241640568;23,41069794;2,935860157;24,19100761;24,35243607;-7;25;12476391;RECORD@2020-11-21_13.44.44;7;weak;0
7;1091;480;1278;630;3,663607359;23,94781876;4,237356186;24,75070381;24,95126534;-9,800000191;26;11465695;RECORD@2020-11-21_13.44.44;8;weak;0
7;1264;490;1578;730;3,694033384;11,18453407;3,519312143;11,75607395;12,37582779;-16,89999962;16;36253560;RECORD@2020-11-21_13.44.44;8;weak;0
7;823;500;1089;732;0,112852179;10,98870373;0,092468455;11,07624817;11,07836151;-0,5;253;35832788;RECORD@2020-11-21_13.44.44;8;weak;0
7;1060;463;1219;608;3,281055689;23,93313599;3,9520123;24,73325348;24,95126534;-8,899999619;26;12473195;RECORD@2020-11-21_13.44.44;8;weak;0
7;1080;208;1641;554;3,689035892;23,95410156;4,275068283;24,7444725;24,95126534;-10;26;11688644;RECORD@2020-11-21_13.44.44;8;weak;0
7;1044;451;1176;575;2,980379581;23,95381927;2,868171215;24,77165985;24,95126534;-6,599999905;26;9541197;RECORD@2020-11-21_13.44.44;8;weak;0
8;1257;494;1548;718;3,607576609;11,92528343;3,307467222;12,24986744;12,97465801;-15,5;18;35240144;RECORD@2020-11-21_13.44.44;9;weak;0
8;822;501;1088;729;0,078615695;10,92332935;0,000154399;11,36619568;11,3777771;0;253;38757232;RECORD@2020-11-21_13.44.44;9;weak;0
8;1094;483;1280;624;3,722062111;25,10507202;4,174192905;25,50019836;25,94931602;-9,5;27;12373451;RECORD@2020-11-21_13.44.44;9;weak;0
8;1039;458;1215;601;3,350419044;25,10657501;3,051383495;25,97662926;26,14892769;-6,699999809;27;11588898;RECORD@2020-11-21_13.44.44;9;weak;0
9;1091;487;1272;618;3,797929287;25,74613762;3,76915884;26,35582352;26,5481472;-8,100000381;27;12475404;RECORD@2020-11-21_13.44.44;10;incomplete;0
9;1246;492;1528;719;3,691926956;12,36662292;3,26063776;12,86852455;13,37387848;-14,80000019;19;17808892;RECORD@2020-11-21_13.44.44;10;incomplete;0
9;819;504;1086;728;0,091944352;10,87905121;-0,057321526;11,37057114;11,3777771;0,300000012;253;65930432;RECORD@2020-11-21_13.44.44;10;incomplete;0
10;1235;503;1520;705;3,670078278;12,86428165;3,349135399;13,33170891;13,77309895;-14,60000038;20;26462710;RECORD@2020-11-21_13.44.44;11;incomplete;0
10;1088;485;1253;620;3,739251375;26,25495338;3,923265457;27,13279724;27,44639206;-8,100000381;26;15676857;RECORD@2020-11-21_13.44.44;11;incomplete;0
10;819;504;1084;730;0,069417492;10,85923195;0,095724076;11,15010357;11,17816734;-0,5;236;32765442;RECORD@2020-11-21_13.44.44;11;incomplete;0
11;1230;504;1510;703;3,712602139;13,3008976;3,41496706;13,81307983;14,27212429;-14,19999981;21;13799506;RECORD@2020-11-21_13.44.44;12;weak;0
11;816;503;1086;729;0,0805237;10,84394073;0,060184754;11,15082741;11,17816734;-0,300000012;244;27146028;RECORD@2020-11-21_13.44.44;12;weak;0
11;1090;487;1248;617;3,813152552;26,86156654;3,537782669;27,63566208;27,84561157;-7,300000191;26;15622759;RECORD@2020-11-21_13.44.44;12;weak;0
11;0;514;253;647;-4,739630222;9,114332199;-4,515414238;8,900649071;10,18011665;26,89999962;212;13967610;RECORD@2020-11-21_13.44.44;12;weak;0
12;1225;506;1495;703;3,754107475;13,77626324;3,509269714;14,27595329;14,77114964;-14,39999962;22;22236302;RECORD@2020-11-21_13.44.44;13;weak;0
12;815;502;1081;733;0,059904128;10,82332897;-0,135169327;11,17115116;11,17816734;0,699999988;220;34705488;RECORD@2020-11-21_13.44.44;13;weak;0
12;1089;490;1245;617;3,833862543;27,34720612;3,351580143;28,19482613;28,34463882;-6,800000191;24;12824103;RECORD@2020-11-21_13.44.44;13;weak;0
13;1188;507;1398;673;3,931903839;17,39363861;3,68356204;17,83167267;18,264328;-11,89999962;23;25224578;RECORD@2020-11-21_13.44.44;20;weak;0
13;816;505;1077;732;0,042819634;10,94498444;0,158799276;11,4252739;11,47758293;-0,800000012;244;29908992;RECORD@2020-11-21_13.44.44;20;weak;0
13;1075;491;1220;607;3,802457571;30,37112236;4,065978527;31,13845825;31,33879089;-7,599999905;14;14050203;RECORD@2020-11-21_13.44.44;20;weak;0
14;1185;507;1386;666;3,885173798;17,89430618;3,603775978;18,41356468;18,76335144;-11,39999962;22;18587636;RECORD@2020-11-21_13.44.44;21;incomplete;0
14;814;504;1079;731;0,045596909;10,92970848;0,361337394;11,53438759;11,57738781;-1,700000048;253;44817500;RECORD@2020-11-21_13.44.44;21;incomplete;0
14;1094;488;1213;603;3,826070786;30,64515305;3,656194687;31,33703041;31,53840065;-6,699999809;15;12288770;RECORD@2020-11-21_13.44.44;21;incomplete;0
14;1682;545;1920;947;3,180037022;6,43414259;3,188559532;5,109698772;5,988303661;-31,5;10;12434423;RECORD@2020-11-21_13.44.44;21;incomplete;0
15;823;489;1092;724;0,075136594;10,69885063;0,145068333;11,35525417;11,3777771;-0,800000012;253;39833736;RECORD@2020-11-21_13.44.44;23;incomplete;0
15;1163;499;1348;641;4,006371975;20,2222023;4,104632378;20,70073891;21,15867424;-11,10000038;18;11370718;RECORD@2020-11-21_13.44.44;23;incomplete;0
15;1088;478;1204;587;3,807431221;32,27010345;3,866374254;33,04266357;33,23508453;-6,699999809;16;7565275,5;RECORD@2020-11-21_13.44.44;23;incomplete;0
15;1581;470;1920;992;2,913211823;5,659235001;3,120034218;6,245790482;6,986354351;-26,5;14;12047742;RECORD@2020-11-21_13.44.44;23;incomplete;0
16;1087;482;1207;584;3,733324051;32,60457993;3,783023596;33,11392212;33,33489227;-6,400000095;16;14538382;RECORD@2020-11-21_13.44.44;24;incomplete;0
16;822;488;1091;722;0,066706091;10,64201069;0,317633629;11,24579811;11,3777771;-1,700000048;252;47038904;RECORD@2020-11-21_13.44.44;24;incomplete;0
16;1160;496;1339;637;3,972520113;20,66508102;3,674740314;21,04933548;21,45808792;-10;18;23748562;RECORD@2020-11-21_13.44.44;24;incomplete;0
16;1558;459;1920;974;3,031807661;6,156570911;3,113634109;6,520074844;7,185964584;-25,29999924;56;9324405;RECORD@2020-11-21_13.44.44;24;incomplete;0
17;1151;501;1330;643;3,997138739;20,95977211;3,627594709;21,22051811;21,75750351;-9,800000191;16;21140876;RECORD@2020-11-21_13.44.44;25;weak;0
17;812;494;1083;729;0,057061855;10,64385128;0,299464226;11,13955879;11,17816734;-1,5;248;43189164;RECORD@2020-11-21_13.44.44;25;weak;0
17;1077;483;1198;584;3,716259003;32,99100876;3,693448544;33,79402542;33,93372345;-6,300000191;16;10075586;RECORD@2020-11-21_13.44.44;25;weak;0
17;1533;495;1920;955;2,896124363;5,696659565;3,06499505;6,903641224;7,585185051;-23,70000076;50;8307621;RECORD@2020-11-21_13.44.44;25;weak;0
18;1078;494;1196;594;3,665020943;33,32995987;3,865988255;33,77848053;34,03352737;-6,5;16;13900127;RECORD@2020-11-21_13.44.44;26;strong;0
18;815;498;1082;735;0,045091599;10,64054871;0,293506026;11,14626503;11,17816734;-1,600000024;236;32364614;RECORD@2020-11-21_13.44.44;26;strong;0
18;1148;505;1320;642;3,910467148;21,38664627;3,848159075;21,72149277;22,15672493;-10;16;19165300;RECORD@2020-11-21_13.44.44;26;strong;0
18;1497;481;1920;931;2,907895327;5,678619862;3,09514904;6,641537666;7,385574818;-26;16;10455453;RECORD@2020-11-21_13.44.44;26;strong;0
19;1075;493;1193;595;3,606537819;33,71218491;3,872195721;34,09841537;34,33294296;-6,5;16;19803020;RECORD@2020-11-21_13.44.44;27;weak;0
19;1145;509;1314;643;3,887531757;21,7599926;3,553864479;22,16339874;22,55594444;-9,300000191;15;16876362;RECORD@2020-11-21_13.44.44;27;weak;0
19;815;498;1080;736;0,048999686;10,63015079;0,332249969;11,11077595;11,17816734;-1,799999952;252;40937620;RECORD@2020-11-21_13.44.44;27;weak;0
19;1486;462;1920;911;2,964014292;5,937710285;3,105149984;5,364542007;6,187913895;-30,20000076;16;12022623;RECORD@2020-11-21_13.44.44;27;weak;0
20;1079;496;1191;595;3,571854591;34,0688858;3,569709778;34,40850067;34,63235474;-5,900000095;17;13200342;RECORD@2020-11-21_13.44.44;28;weak;0
20;821;497;1086;737;0,051564265;10,61045265;0,288636565;11,06756401;11,17816734;-1,600000024;252;47975288;RECORD@2020-11-21_13.44.44;28;weak;0
20;1143;504;1312;639;3,878603935;22,07815933;3,753108501;22,47419739;22,7555542;-9,300000191;14;18409912;RECORD@2020-11-21_13.44.44;28;weak;0
20;1469;443;1920;896;2,925291538;5,878951073;3,048916817;5,489063263;6,387524128;-28,70000076;18;12618101;RECORD@2020-11-21_13.44.44;28;weak;0
20;1098;502;1240;616;3,400866508;22,09580421;3,61470747;22,4432869;22,7555542;-9,300000191;14;19092722;RECORD@2020-11-21_13.44.44;28;weak;0
21;812;499;1078;735;0,039374251;10,59703541;0,451934904;11,12526703;11,17816734;-2,299999952;253;38254884;RECORD@2020-11-21_13.44.44;29;weak;0
21;1132;506;1298;638;3,837997198;22,43615723;3,549553871;22,67107582;22,95516396;-8,899999619;14;26973124;RECORD@2020-11-21_13.44.44;29;weak;0
21;1070;492;1190;592;3,529279232;34,47887802;3,651846886;34,74036407;34,93177414;-6;18;30736644;RECORD@2020-11-21_13.44.44;29;weak;0
21;1450;442;1920;879;3,017647028;6,924602509;3,052628279;5,870368958;6,587134361;-27;25;11427936;RECORD@2020-11-21_13.44.44;29;weak;0
21;1105;506;1234;609;3,439065218;22,46575356;3,534121037;22,67412186;23,05496979;-8,899999619;14;26395538;RECORD@2020-11-21_13.44.44;29;weak;0
22;1131;504;1292;636;3,8021667;22,71611786;3,573210716;23,04778671;23,35438538;-8,800000191;14;32939030;RECORD@2020-11-21_13.44.44;30;weak;0
22;813;496;1082;737;0,043950737;10,54542637;0,175524712;11,15756416;11,17816734;-1;253;41220104;RECORD@2020-11-21_13.44.44;30;weak;0
22;1422;471;1917;863;2,839729071;5,687064648;3,088006258;6,084981918;6,786744595;-26,79999924;17;24686682;RECORD@2020-11-21_13.44.44;30;weak;0
22;1071;493;1183;592;3,528944731;34,84894562;3,363064289;35,07061768;35,33099365;-5,5;21;15795612;RECORD@2020-11-21_13.44.44;30;weak;0
23;1128;508;1285;636;3,78778553;23,03021622;3,710521221;23,4165802;23,95321465;-8,800000191;14;21054742;RECORD@2020-11-21_13.44.44;31;weak;0
23;814;498;1083;741;0,057964932;10,49295235;0,240127891;10,77689648;10,77894688;-1,299999952;253;52693324;RECORD@2020-11-21_13.44.44;31;weak;0
23;1407;469;1913;849;2,990131617;5,843098164;3,114450693;6,329323769;7,185964584;-25,70000076;20;23720682;RECORD@2020-11-21_13.44.44;31;weak;0
23;1070;494;1172;591;3,519432783;35,34720993;3,664345026;35,70312119;35,92982483;-5,900000095;23;24159852;RECORD@2020-11-21_13.44.44;31;weak;0
24;816;497;1085;743;0,061392017;10,39031315;0,166295171;10,93396091;10,97855663;-0,899999976;251;39789296;RECORD@2020-11-21_13.44.44;32;incomplete;0
24;1127;506;1286;634;3,82056284;23,30497742;3,538682461;23,67562866;23,95321465;-8,5;13;36414780;RECORD@2020-11-21_13.44.44;32;incomplete;0
24;1394;486;1918;826;3,044769526;6,06192112;3,081935644;6,751335621;7,385574818;-23,79999924;23;28005316;RECORD@2020-11-21_13.44.44;32;incomplete;0
24;1073;496;1174;588;3,633199692;35,86137009;3,635659218;36,33925629;36,52865219;-5,699999809;26;23092966;RECORD@2020-11-21_13.44.44;32;incomplete;0
25;1128;507;1284;632;3,811487675;23,60807037;3,561649561;24,11759758;24,35243607;-8,600000381;13;19707660;RECORD@2020-11-21_13.44.44;33;incomplete;0
25;818;501;1091;745;0,090053692;10,30092049;0,199135616;10,8482132;10,97855663;-1,100000024;250;31894898;RECORD@2020-11-21_13.44.44;33;incomplete;0
25;1377;496;1894;819;3,110412121;6,387742043;3,185689926;7,013403893;7,784794807;-25,39999962;15;27464878;RECORD@2020-11-21_13.44.44;33;incomplete;0
25;1068;492;1175;584;3,756587744;36,4649086;4,020298481;36,88876343;37,12748337;-6,199999809;29;14454541;RECORD@2020-11-21_13.44.44;33;incomplete;0
26;830;493;1104;745;0,118050367;10,14113235;0,210076749;10,61137199;10,679142;-1,200000048;250;48532600;RECORD@2020-11-21_13.44.44;34;incomplete;0
26;1125;507;1282;632;3,847945213;23,87907219;3,627271414;24,06571579;24,35243607;-8,699999809;14;43483804;RECORD@2020-11-21_13.44.44;34;incomplete;0
26;1359;491;1859;812;3,161357164;6,697907925;3,202433825;7,391355515;8,184015274;-24;15;24351516;RECORD@2020-11-21_13.44.44;34;incomplete;0
26;1079;494;1171;578;3,837373972;37,13479614;4,449154377;38,36453247;38,6245575;-6,699999809;32;4411631,5;RECORD@2020-11-21_13.44.44;34;incomplete;0
27;1127;508;1279;632;3,844557762;24,18605804;3,641884565;24,36041069;24,75165558;-8,5;14;19967636;RECORD@2020-11-21_13.44.44;35;weak;0
27;1352;496;1837;804;3,222463846;7,025051117;3,191082001;7,650269508;8,383625031;-23,5;14;39042500;RECORD@2020-11-21_13.44.44;35;weak;0
27;829;493;1107;749;0,144387007;10,00805092;0,351455986;10,55497169;10,57933712;-1,899999976;248;31896896;RECORD@2020-11-21_13.44.44;35;weak;0
27;1076;495;1171;583;4,011258125;37,86885834;4,183646202;38,1860733;38,42494965;-6,300000191;35;8875794;RECORD@2020-11-21_13.44.44;35;weak;0
28;1327;485;1742;765;3,430110931;8,263805389;3,260742188;9,049980164;9,780896187;-21,29999924;50;35902064;RECORD@2020-11-21_13.44.44;37;incomplete;0
28;1133;506;1264;619;3,988736629;26,03614807;4,150880337;26,20526505;26,5481472;-9;36;31234848;RECORD@2020-11-21_13.44.44;37;incomplete;0
28;839;491;1133;755;0,230539396;9,107459068;0,167120725;9,930391312;9,980506897;-1;250;23827088;RECORD@2020-11-21_13.44.44;37;incomplete;0
29;1133;503;1261;611;4,010773182;26,52369118;3,787775517;26,8738842;27,14697838;-8,100000381;22;27152140;RECORD@2020-11-21_13.44.44;38;incomplete;0
29;841;488;1141;752;0,25911507;8,983809471;0,250586271;9,367660522;9,38167572;-1,600000024;250;32911138;RECORD@2020-11-21_13.44.44;38;incomplete;0
29;1330;480;1730;758;3,484213352;8,478535652;3,727072716;9,27271843;9,980506897;-21,79999924;9;31428118;RECORD@2020-11-21_13.44.44;38;incomplete;0
30;1132;508;1255;617;4,13229847;27,08436012;3,90962553;27,30622864;27,74580765;-7,900000095;25;26049990;RECORD@2020-11-21_13.44.44;39;weak;0
30;1324;487;1718;758;3,492944002;8,671390533;3,782272816;8,905885696;9,980506897;-21,79999924;8;38170016;RECORD@2020-11-21_13.44.44;39;weak;0
30;837;501;1149;770;0,2657848;8,851208687;0,123851381;9,267269135;9,281870842;-0,800000012;252;36604264;RECORD@2020-11-21_13.44.44;39;weak;0
31;835;500;1150;776;0,277634203;8,803203583;0,224802598;9,169075012;9,182065964;-1,5;253;70055136;RECORD@2020-11-21_13.44.44;40;weak;0
31;1322;478;1707;760;3,547232389;8,893561363;4,033606529;9,160917282;10,18011665;-23,10000038;8;38970624;RECORD@2020-11-21_13.44.44;40;weak;0
31;1126;521;1250;627;4,168992996;27,6286335;4,280256748;27,99004936;28,34463882;-8,699999809;27;23537174;RECORD@2020-11-21_13.44.44;40;weak;0
32;846;484;1156;766;0,325202525;8,736783028;0,360119671;9,173252106;9,182065964;-2,299999952;2;42873912;RECORD@2020-11-21_13.44.44;45;weak;0
32;1304;493;1658;740;3,591782093;9,697608948;3,328018427;10,14567375;10,97855663;-19,29999924;4;26583128;RECORD@2020-11-21_13.44.44;45;weak;0
32;1121;509;1219;605;1,069051862;8,840790749;0,384574383;8,972535133;8,982456207;-2,400000095;2;46324872;RECORD@2020-11-21_13.44.44;45;weak;0
32;628;513;687;557;-10,57185745;68,64555359;-10,34136295;68,0912323;68,86549377;8,600000381;58;4928366,5;RECORD@2020-11-21_13.44.44;45;weak;0
32;797;508;865;553;-4,446959019;64,04073334;-4,195775509;64,02752686;64,1746521;3,700000048;190;7600376;RECORD@2020-11-21_13.44.44;45;weak;0
33;846;495;1156;771;0,336159289;8,829404831;0,247633427;9,361219406;9,38167572;-1,600000024;2;40342488;RECORD@2020-11-21_13.44.44;47;weak;0
33;1308;486;1652;738;3,597974777;9,735114098;3,51418519;10,23949146;10,97855663;-19,39999962;252;23991456;RECORD@2020-11-21_13.44.44;47;weak;0
33;1110;510;1210;610;1,047161222;8,918347359;0,281884104;9,167734146;9,182065964;-1,799999952;2;47776824;RECORD@2020-11-21_13.44.44;47;weak;0
33;785;504;859;555;-4,321221828;61,17483902;-4,060431004;61,13845825;61,28030777;3,799999952;191;6051603;RECORD@2020-11-21_13.44.44;47;weak;0
33;580;518;642;565;-10,80002499;59,60015488;-10,49907494;58,95518494;59,88303757;10,10000038;59;5653278;RECORD@2020-11-21_13.44.44;47;weak;0
33;704;514;768;554;-2,371960878;16,99496269;-2,477748156;16,78053093;16,96686172;8,5;192;9305979;RECORD@2020-11-21_13.44.44;47;weak;0
34;1322;482;1708;751;3,527745962;8,861476898;3,719997406;9,097484589;10,08031178;-22,70000076;240;30253636;RECORD@2020-11-21_13.44.44;48;weak;0
34;844;490;1153;761;0,334030569;8,871638298;0,241978943;9,267688751;9,281870842;-1,600000024;252;38615568;RECORD@2020-11-21_13.44.44;48;weak;0
34;1096;511;1185;594;1,011053443;8,959171295;0,25475204;9,356307983;9,38167572;-1,700000048;252;36982780;RECORD@2020-11-21_13.44.44;48;weak;0
34;438;513;532;584;-5,303986073;17,73992348;-5,430185795;17,62918282;18,56374168;17,20000076;199;23798620;RECORD@2020-11-21_13.44.44;48;weak;0
34;767;489;857;557;-4,612738132;55,40572739;-3,966432571;55,53678131;55,69122696;4,099999905;196;17351134;RECORD@2020-11-21_13.44.44;48;weak;0
34;652;509;741;558;-7,40130806;55,88824844;-6,981420517;56,05659485;56,48966599;7,099999905;197;6722139,5;RECORD@2020-11-21_13.44.44;48;weak;0
35;840;481;1160;762;0,333176404;8,603826523;0,425654531;8,969526291;8,982456207;-2,799999952;247;36949424;RECORD@2020-11-21_13.44.44;50;weak;0
35;1341;478;1767;773;3,419196129;8,014874458;3,332824945;8,434042931;9,182065964;-22,5;237;52744524;RECORD@2020-11-21_13.44.44;50;weak;0
35;597;503;673;553;-8,359290123;53,13859177;-7,499948978;53,17267227;53,69512558;8;200;16380023;RECORD@2020-11-21_13.44.44;50;weak;0
35;755;499;833;555;-4,563276768;52,86717606;-4,026416779;52,82879639;52,99649048;4,300000191;199;18822426;RECORD@2020-11-21_13.44.44;50;weak;0
35;1098;506;1177;587;0,988479137;8,66298008;0,425654531;8,969526291;8,982456207;-2,799999952;247;36949424;RECORD@2020-11-21_13.44.44;50;weak;0
35;340;512;467;590;-2,793493509;8,667895317;-2,569402218;8,668613434;9,082261086;16,70000076;212;16107056;RECORD@2020-11-21_13.44.44;50;weak;0
35;653;507;727;554;-7,622329235;53,06798935;-7,472171783;53,37033844;53,89473343;8;200;14910021;RECORD@2020-11-21_13.44.44;50;weak;0
35;454;518;529;561;-13,74449158;53,85500717;-13,63459492;53,48236847;55,29200745;14,19999981;86;7319296,5;RECORD@2020-11-21_13.44.44;50;weak;0
36;832;473;1170;766;0,362397045;8,138902664;0,239400297;8,655860901;8,683040619;-1,700000048;242;50331140;RECORD@2020-11-21_13.44.44;52;incomplete;0
36;1360;468;1841;791;3,248277426;7,03414011;3,241691589;7,569557667;8,383625031;-23,29999924;234;26843270;RECORD@2020-11-21_13.44.44;52;incomplete;0
36;543;497;622;552;-11,05004692;53,84291077;-10,47531033;53,58529663;54,69317627;11,10000038;66;7366675;RECORD@2020-11-21_13.44.44;52;incomplete;0
36;364;505;468;564;-14,02364731;45,93255234;-13,65108299;45,74242401;47,70682144;16,70000076;92;7541492;RECORD@2020-11-21_13.44.44;52;incomplete;0
36;750;490;840;545;-4,561136723;50,40312958;-3,785824537;50,36252594;50,50136185;4,300000191;204;14288992;RECORD@2020-11-21_13.44.44;52;incomplete;0
36;637;493;718;549;-7,845151424;50,628479;-7,478741646;50,7495842;51,29980469;8,399999619;204;13828212;RECORD@2020-11-21_13.44.44;52;incomplete;0
37;641;526;697;568;-10,08414078;65,25014496;-9,66550827;65,44424438;66,17076111;8,399999619;167;8354180;RECORD@2020-11-22_12.27.27;2;strong;0
38;645;520;701;565;-8,775779724;57,68930817;-8,46949482;57,87329483;58,48576736;8,300000191;167;14992794;RECORD@2020-11-22_12.27.27;3;strong;0
39;642;523;707;575;-7,670774937;49,99360275;-7,273423195;50,41752625;50,90058136;8,199999809;167;9243501;RECORD@2020-11-22_12.27.27;4;strong;0
40;630;528;710;593;-6,746282101;42,56774521;-6,355233669;42,81710052;43,31539917;8,5;167;20767424;RECORD@2020-11-22_12.27.27;5;strong;0
41;610;518;704;598;-5,834587097;35,00842667;-5,404653549;35,16560364;35,5306015;8,800000191;169;14916092;RECORD@2020-11-22_12.27.27;6;strong;0
42;1;532;391;904;-3,139867306;5,355705738;-3,376660347;5,146208763;6,387524128;33,59999847;220;8716660;RECORD@2020-11-22_12.27.27;7;weak;0
42;546;511;599;554;-14,84102631;73,94417572;-14,74452114;73,76856995;75,25302124;11,30000019;156;7030058,5;RECORD@2020-11-22_12.27.27;7;weak;0
43;554;512;613;564;-11,88368988;58,2848587;-11,13408279;58,33086395;59,48381805;10,89999962;155;7327507,5;RECORD@2020-11-22_12.27.27;9;strong;0
44;550;509;628;579;-8,528692245;42,6518631;-8,386574745;42,60607147;43,51500702;11,10000038;154;9154819;RECORD@2020-11-22_12.27.27;11;strong;0
45;526;510;627;598;-7,387659073;34,51252747;-7,274938583;34,77199936;35,5306015;11,89999962;155;11911677;RECORD@2020-11-22_12.27.27;12;strong;0
46;481;508;613;619;-6,379380703;26,76124763;-6,196831703;26,88621712;27,54619789;12,89999962;157;16712434;RECORD@2020-11-22_12.27.27;13;strong;0
47;391;508;577;655;-5,426843643;18,87095833;-5,460751057;18,88347626;19,76140213;16;159;13352758;RECORD@2020-11-22_12.27.27;14;strong;0
48;153;511;476;731;-4,886712551;10,99741936;-4,724759102;10,99100113;12,17621803;23,60000038;175;14762504;RECORD@2020-11-22_12.27.27;15;strong;0
49;1;483;147;864;-4,015748978;6,701102257;-4,135432243;6,226449013;7,585185051;33,59999847;209;12427025;RECORD@2020-11-22_12.27.27;16;weak;0
50;536;509;608;552;-6,520935535;31,89883614;-6,734771252;32,06264114;32,7360611;11,80000019;2;6557076;RECORD@2020-11-22_12.30.20;5;weak;0
51;417;519;506;566;-6,819507122;26,10638428;-7,053328514;26,18645859;27,14697838;14,89999962;6;8675777;RECORD@2020-11-22_12.30.20;6;weak;0
52;274;526;394;587;-7,172752857;18,57197762;-7,631194115;18,43043709;19,96101379;22,5;18;10182025;RECORD@2020-11-22_12.30.20;7;weak;0
53;512;492;600;560;-6,870758057;28,38850975;-7,197927475;28,24020195;29,14307976;14,30000019;6;3851469,75;RECORD@2020-11-22_12.30.20;19;weak;0
